date,organization,project,zip,cb,cd,amount
2021,19K660 William H. Maxwell CTE High School,SunWorks Hydroponic Lab,11207,5,37,235
2021,19K661 Vista Academy Brooklyn,SunWorks Hydroponic Lab,11208,5,37,175
2021,K383 IS 383 Philippa Schulyer Middle School For The Gifted And Talented,STEM lab,11237,4,37,300
2021,K798 PS 065,Technology,11208,5,37,150
2021,PS 214 The Michael Friedsam School,Hydroponic classroom,11208,5,37,175
2021,PS 599 Brooklyn Landmark Elementary School,STEM lab,11223,16,37,200
2021,"Unified Neighborhood Partners (RiseBoro Community Partnership, Los Sures, United Jewish Organizations of Williamsburg, St. Nicks Alliance)",Affordable housing,11206,1,"33 - Stephen T.Levin",783
2021,K307 PS 307 Daniel Hale Williams,Technology,11201,2,33 - Stephen T. Levin,160
2021,New York City College of Technology (City Tech),STEM lab,11201,2,33 - Stephen T. Levin,500
2021,Northside Town Hall Community and Cultural Center,Construction (improvements to property),11211,1,33 - Stephen T. Levin,250
2021,Pratt Institute,Construction of STEM lab,11205,2,33 - Stephen T. Levin,450
2021,Pratt Institute,Equipment Purchase,11205,2,33 - Stephen T. Levin,500
2021,The DNA Learning Center (DNALC) NYC - Cold Spring Harbor Laboratory,DNA Learning Center NYC Initial Outfitting,11201,2,33 - Stephen T. Levin,450
2021,Voices of Community Activists and Leaders – New York (VOCAL-NY),VOCAL-NY Counseling Center Acquisition Project,11217,6,33 - Stephen T. Levin,600
2021,15K038 The Pacific School,Technology,11217,2,33 - Stephen T. Levin,130
2021,15K429 Digital Arts and Cinema Technology HS,Technology,11201,6,33 - Stephen T. Levin,100
2021,15K592 Khalil Gibran International Academy,Technology,11217,2,33 - Stephen T. Levin,160
2021,84K486 New Dawn Charter High School,A+ Mobile STEM Lab,11217,6,33 - Stephen T. Levin,250
2021,Brooklyn Bridge Park Corporation,Vehicle-rated bollards will be installed at the entrance of the Plaza and along the Pier 1 Entrance,11201,2,33 - Stephen T. Levin,500
2021,Brooklyn Community Arts & Media High School,Water fountain stations,11205,6,33 - Stephen T. Levin,64
2021,Brooklyn Community Arts & Media High School,Bathroom upgrades,11205,6,33 - Stephen T. Levin,150
2021,K031 Samuel F. DuPont,STEM lab,11222,1,33 - Stephen T. Levin,263
2021,K318 IS 318 Eugenio Maria De Hostos,SunWorks Hydroponic Lab,11206,1,33 - Stephen T. Levin,235
2021,K497 The Boerum Hill School For International Studies,A+ Mobile STEM Lab,11201,6,33 - Stephen T. Levin,238
2021,K561 Williamsburg Preparatory School,STEM lab,11211,14,33 - Stephen T. Levin,425
2021,K891 - The Brooklyn STEAM Center at the Navy Yard,Hydroponic classroom and STEM lab,11205,2,33 - Stephen T. Levin,75
2021,14K414 PS 414 Brooklyn Arbor Elementary School,STEM lab,11211,1,34 - Antonio Reynoso,350
2021,K050,STEM lab,11211,1,34 - Antonio Reynoso,300
2021,K123 The Suydam Magnet School For STEAM,STEM lab,11237,4,34 - Antonio Reynoso,240
2021,PS 20 The Clinton Hill School,Hydroponic classroom,11205,2,35 - Laurie A. Cumbo,175
2021,PS 221 Tossaint L'ouverture,STEM lab,11213,17,35 - Laurie A. Cumbo,250
2021,13K020 Clinton Elementary School,SunWorks Hydroponic Lab,11205,4,35 - Laurie A. Cumbo,235
2021,17K352,STEAM LAB,11225,17,35 - Laurie A. Cumbo,500
2021,17K532 New Bridges. Elementary,Technology,11213,8,35 - Laurie A. Cumbo,100
2021,75K753 Brooklyn School For Career Development,Culinary arts classroom and lab,11238,2,35 - Laurie A. Cumbo,500
2021,Brooklyn Museum,Vehicle purchase,11238,9,35 - Laurie A. Cumbo,147
2021,"Digital Girl, Inc.",Bedford Union Armory - DGI Technology Center,11225,9,35 - Laurie A. Cumbo,125
2021,"Jack Arts, Inc",Sound system,11238,2,35 - Laurie A. Cumbo,67
2021,K056 PS56 Lewis Latimer and MS351Urban Assembly Unison,STEM lab,11238,2,35 - Laurie A. Cumbo,250
2021,Pathways to Graduation - Bed-Stuy Referral Center,A+ Mobile STEM Lab,11216,3,"36 - Robert E. Cornegy, Jr.",200
2021,"Pratt Area Community Council, INC. (DBA IMPACCT Brooklyn)",Affordable housing,11221,3,"36 - Robert E. Cornegy, Jr.",500
2021,PS 59 - The William Floyd Elementary School,A+ Mobile STEM Lab,11206,3,"36 - Robert E. Cornegy, Jr.",250
2021,"Selfhelp Community Services, Inc.",Affordable housing,11206,3,"36 - Robert E. Cornegy, Jr.",250
2021,St. Nicks Alliance DeKalb Commons NY HDFC,Affordable housing,11216,3,"36 - Robert E. Cornegy, Jr.",500
2021,16K455 Boys and Girls High School,A+ Mobile STEM Lab,11213,3,"36 - Robert E. Cornegy, Jr.",235
2021,17K138,A+ Mobile STEM Lab,11216,8,"36 - Robert E. Cornegy, Jr.",200
2021,84K649 La Cima Charter School,Technology,11221,3,"36 - Robert E. Cornegy, Jr.",50
2021,84K892 BELA Charter School,Technology,11221,3,"36 - Robert E. Cornegy, Jr.",80
2021,Brooklyn Children's Museum,HVAC,11213,8,"36 - Robert E. Cornegy, Jr.",1000
2021,Brooklyn High School for Leadership and Community Service,Technology,11205,3,"36 - Robert E. Cornegy, Jr.",50
2021,Community Partnership Charter School,Technology,11216,3,"36 - Robert E. Cornegy, Jr.",63
2021,"Comunilife, Inc.",Affordable housing,11206,3,"36 - Robert E. Cornegy, Jr.",500
2021,K016 PS 21 Crispus Attucks Elementary School,Technology,11233,3,"36 - Robert E. Cornegy, Jr.",300
2021,K373-75 The Brooklyn Transition Center,Technology,11206,3,"36 - Robert E. Cornegy, Jr.",115
2021,K492 Academy of Arts & Letters and K305,Technology,11216,3,"36 - Robert E. Cornegy, Jr.",300
2021,K765 HS 765 Nelson Mandela School for Social Justice,"Science lab upgrades, STEM lab",11213,3,"36 - Robert E. Cornegy, Jr.",250
2021,Maimonides Medical Center,Hospital Pediatric ED Imaging Equipment,11219,12,38 - Carlos Menchaca,436
2021,PS 24,STEM lab,11232,17,38 - Carlos Menchaca,200
2021,84K362 Hellenic Classical Charter School,Technology,11215,7,38 - Carlos Menchaca,110
2021,84K730 Summit Academy Charter School,STEM lab,11231,6,38 - Carlos Menchaca,100
2021,"BioBAT, Inc. d/b/a SUNY Research Foundation",BioBAT - Tenant Fit-Out Third Floor,11220,7,38 - Carlos Menchaca,500
2021,K020PS310 The School for Future Leaders,A+ Mobile STEM Lab,11219,10,38 - Carlos Menchaca,159
2021,K088 JHS 088 Peter Rouget,STEM lab,11215,7,38 - Carlos Menchaca,200
2021,K051 MS 51 William Alexander Middle School,Technology,11215,6,39 - Brad Lander,50
2021,K077,Technology,11217,6,39 - Brad Lander,300
2021,K169 PS 169 Sunset Park School,Technology,11232,15,39 - Brad Lander,50
2021,Mercy Procida Owner LLC,Affordable housing,11215,6,39 - Brad Lander,500
2021,PS 372 The Children's School,Playground upgrades,11215,16,39 - Brad Lander,100
2021,PS 39 Henry Bristow,A+ Mobile STEM Lab,11215,16,39 - Brad Lander,250
2021,Women's League Community Residences dba Makor Disability Services,Vehicle purchase,11218,12,39 - Brad Lander,104
2021,Local Development Corporation of East New York,Affordable housing,11233,16,"40 - Alicka Ampry-
Samuel",500
2021,NYC Health + Hospitals/Kings County,Purchase one (1) Tomosynthesis 3D Mammography Unit,11203,9,40 - Mathieu Eugene,500
2021,Prospect Park Alliance,Infrastructure (public spaces/sidewalks),11218,14,40 - Mathieu Eugene,500
2021,K246 Walt Whitman,A+ Mobile STEM Lab,11226,17,40 - Mathieu Eugene,250
2021,PS 40 The George Washington Carver School,Technology,11233,3,"41 - Alicka Ampry-
Samuel",150
2021,23K401,"Hydroponic classroom, STEM lab, Technology",11212,16,41 - Alicka Ampry-Samuel,125
2021,K040 - PS 40 - The George Washington Carver School,Technology,11233,3,41 - Alicka Ampry-Samuel,150
2021,K392,Technology,11212,16,41 - Alicka Ampry-Samuel,275
2021,Key Collegiate Charter School (84K912),"Equipment (this includes initial outfitting), furniture for original outfitting in science lab, gym, classrooms, and performing arts rooms.",11212,16,41 - Alicka Ampry-Samuel,110
2021,"Settlement Housing Fund, Inc.",Affordable housing,11233,8,41 - Alicka Ampry-Samuel,500
2021,19K502 FDNY Captain Vernon A. Richard High School,STEM lab,11207,5,42 - Inez Barron,419
2021,19K507,A+ Mobile STEM Lab,11207,5,42 - Inez Barron,235
2021,19K510 World Academy for Total Community Health HS,A+ Mobile STEM Lab,11207,5,42 - Inez Barron,250
2021,75K004,Technology upgrade of computers/printers/laptop carts/iPads,11207,5,42 - Inez Barron,250
2021,K036 The Nathanael Greene School,Technology,11207,5,42 - Inez Barron,385
2021,K149 PS 149 Danny Kaye Elementary School,A+ Mobile STEM Lab,11207,5,42 - Inez Barron,235
2021,K149 PS 149 Danny Kaye Elementary School,Hydroponic classroom,11207,5,42 - Inez Barron,175
2021,K183 PS 446 Riverdale Avenue Community School,Technology,11206,16,42 - Inez Barron,200
2021,K328 Phillis Wheatley,Hydroponic classroom,11207,5,42 - Inez Barron,175
2021,K662 MS Liberty Avenue Middle School,A+ Mobile STEM Lab,11208,5,42 - Inez Barron,235
2021,K667 PS 938 Elementary School,STEM lab,11208,5,42 - Inez Barron,235
